,C,H,I,I^2,I^3,I^4,d^2I/dH^2,dI/dH,rmse
eqn_0.5_2_0.txt,-0.030534256082376032,0.0,-22.772985228110347,116.5004908328984,0.0,-118.13867211923534,-5.553962336074163e-05,1.0,0.011133993912418079
eqn_0.5_3_0.txt,-0.030534256082330822,0.0,-22.772985228104996,116.5004908329316,0.0,-118.13867211926187,-5.553962336080076e-05,1.0,0.01058295540093463
eqn_0.5_4_0.txt,-0.030534256082354105,0.0,-22.772985228235452,116.5004908324716,0.0,-118.13867211875115,-5.5539623346589906e-05,1.0,0.011989543501710066
eqn_0.5_5_0.txt,-0.02937697141925355,0.0,-22.56278789554824,118.1829938068684,0.0,-120.69823021498236,0.0,1.0,0.01039962260573631
eqn_0.6_0_0.txt,-0.1566817040994053,0.027033835022263197,-67.38247845382152,0.0,0.0,-33.39477538126467,0.0,1.0,0.008477726805834192
eqn_0.6_1_0.txt,-0.1430641588941089,0.0,-66.99778314911136,0.0,0.0,-32.26446633383315,-6.577046489130052e-05,1.0,0.008423889980812513
eqn_0.6_2_0.txt,-0.1430641588940952,0.0,-66.9977831491112,0.0,0.0,-32.26446633383281,-6.577046489351923e-05,1.0,0.00838744692852856
eqn_0.6_3_0.txt,-0.1430641588940952,0.0,-66.9977831491112,0.0,0.0,-32.26446633383281,-6.577046489351923e-05,1.0,0.008834190135542633
eqn_0.6_4_0.txt,-0.15687077919920359,0.027931164332767038,-67.0506431178279,0.0,0.0,-32.32085691951681,-6.579914506943396e-05,1.0,0.008621372301607921
eqn_0.6_5_0.txt,-0.1433185342079284,0.0,-67.3311759783013,0.0,0.0,-33.33974259908192,0.0,1.0,0.008273422192094607
eqn_0.7_0_0.txt,-0.13818165660878307,0.0,-41.79039981878589,74.38548219830199,91.77852628398088,0.0,-4.014542423647072e-05,1.0,0.007517055280990348
eqn_0.7_1_0.txt,-0.13818165660877388,0.0,-41.790399818777345,74.3854821981885,91.77852628379014,0.0,-4.014542423647072e-05,1.0,0.0075879778604325725
eqn_0.7_2_0.txt,-0.1381816566087366,0.0,-41.790399818781935,74.38548219818762,91.77852628376019,0.0,-4.014542423922213e-05,1.0,0.007706739850222928
eqn_0.7_3_0.txt,-0.13818165660878126,0.0,-41.79039981877858,74.38548219833065,91.77852628397213,0.0,-4.014542422936529e-05,1.0,0.0072475163804257055
eqn_0.7_4_0.txt,-0.2062581789590041,0.0,-57.41348711707783,0.0,0.0,-30.529806580271803,0.0,1.0,0.006635654707653588
eqn_0.7_5_0.txt,-0.13818165660877646,0.0,-41.790399818812205,74.38548219792933,91.77852628349024,0.0,-4.014542425068157e-05,1.0,0.007566062611226399
eqn_0.8_0_0.txt,-0.03798249797497988,0.0,-21.547543448947174,0.0,-173.64106431300067,-178.8903504375386,-3.234669070278879e-05,1.0,0.014421370276973402
eqn_0.8_1_0.txt,-0.03798249797506486,0.0,-21.54754344894452,0.0,-173.64106431293945,-178.8903504374557,-3.234669069840379e-05,1.0,0.014116746559682085
eqn_0.8_2_0.txt,-0.03798249797502251,0.0,-21.547543448947373,0.0,-173.6410643129998,-178.89035043753864,-3.234669070278626e-05,1.0,0.013147882692537985
