,I,I^2,I^4,C,dI/dy,I^3
eqn_0.4_3_0.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_3_1.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.4_3_2.txt,-1.0935816317932423,0.0,0.0,-0.00175444244982951,1.0,0.0
eqn_0.5_0_0.txt,-0.2333566159239984,0.5488091463438934,0.0,-0.0005069654066267582,1.0,0.0
eqn_0.5_0_1.txt,-0.23335661592399892,0.5488091463438942,0.0,-0.0005069654066268137,1.0,0.0
eqn_0.5_0_2.txt,-0.42911053644257363,0.0,0.0,-0.0013472745800406694,1.0,0.0
eqn_0.5_1_0.txt,-0.2333566159239984,0.5488091463438934,0.0,-0.0005069654066267582,1.0,0.0
eqn_0.5_1_1.txt,-0.2333566159239984,0.5488091463438934,0.0,-0.0005069654066267582,1.0,0.0
eqn_0.5_1_2.txt,-0.42911053644257363,0.0,0.0,-0.0013472745800406694,1.0,0.0
eqn_0.5_2_0.txt,-0.23335661592399892,0.5488091463438942,0.0,-0.0005069654066268137,1.0,0.0
eqn_0.5_2_1.txt,-0.23335661592399892,0.5488091463438942,0.0,-0.0005069654066268137,1.0,0.0
eqn_0.5_2_2.txt,-0.2333566159239984,0.5488091463438934,0.0,-0.0005069654066267582,1.0,0.0
eqn_0.5_3_0.txt,-0.23335661592399892,0.5488091463438942,0.0,-0.0005069654066268137,1.0,0.0
eqn_0.5_3_1.txt,-0.23335661592399892,0.5488091463438942,0.0,-0.0005069654066268137,1.0,0.0
eqn_0.5_3_2.txt,-0.2333566159239984,0.5488091463438934,0.0,-0.0005069654066267582,1.0,0.0
eqn_0.6_0_0.txt,0.0,1.529402996360179,-1.1809621870205624,0.0002637845468995703,1.0,0.0
eqn_0.6_0_1.txt,-0.15902100077996695,-0.3172984905489905,-4.4992893101630225,-0.00046759386105788003,1.0,-4.82830268519569
eqn_0.6_0_2.txt,0.0,1.529402996360179,-1.1809621870205624,0.0002637845468995703,1.0,0.0
eqn_0.6_1_0.txt,0.0,0.955558934644595,-2.881897904686043,0.000432897459794912,1.0,-2.1524314478218285
eqn_0.6_1_1.txt,-0.15902100077995923,-0.31729849054887027,-4.4992893101627995,-0.00046759386105854617,1.0,-4.828302685195361
eqn_0.6_1_2.txt,-0.15902100077997794,-0.317298490548984,-4.4992893101629665,-0.00046759386105987844,1.0,-4.828302685195614
eqn_0.6_2_0.txt,0.0,1.5294029963602294,-1.1809621870206337,0.00026378454690023645,1.0,0.0
eqn_0.6_2_1.txt,0.0,1.5294029963602294,-1.1809621870206337,0.00026378454690023645,1.0,0.0
eqn_0.6_2_2.txt,0.0,0.9555589346445361,-2.881897904686317,0.00043289745979468996,1.0,-2.1524314478221314
eqn_0.6_3_0.txt,-18.659509879434548,50.76366423639695,0.0,-0.07864621695956231,1.0,0.0
eqn_0.7_0_0.txt,-0.31557335651871615,-1.6874761317583542,-5.192407483258467,-0.0014054744558682497,1.0,-6.743495950720122
eqn_0.7_0_1.txt,-0.16728887188312908,0.45222203225283986,0.0,-0.0006929869899963692,1.0,0.0
eqn_0.7_0_2.txt,-0.16728887188312908,0.45222203225283986,0.0,-0.0006929869899963692,1.0,0.0
eqn_0.7_1_0.txt,-0.16728887188312908,0.45222203225283986,0.0,-0.0006929869899963692,1.0,0.0
eqn_0.7_1_1.txt,-0.1672888718831297,0.4522220322528387,0.0,-0.0006929869899963692,1.0,0.0
eqn_0.7_1_2.txt,-0.1672888718831297,0.4522220322528387,0.0,-0.0006929869899963692,1.0,0.0
eqn_0.7_2_0.txt,-0.16728887188312908,0.45222203225283986,0.0,-0.0006929869899963692,1.0,0.0
eqn_0.7_2_1.txt,-0.1672888718831297,0.4522220322528387,0.0,-0.0006929869899963692,1.0,0.0
eqn_0.7_2_2.txt,-0.1672888718831297,0.4522220322528387,0.0,-0.0006929869899963692,1.0,0.0
eqn_0.7_3_0.txt,-0.3155733565187187,-1.6874761317583875,-5.192407483258539,-0.0014054744558682497,1.0,-6.74349595072022
eqn_0.7_3_1.txt,-0.16728887188312908,0.45222203225283986,0.0,-0.0006929869899963692,1.0,0.0
eqn_0.7_3_2.txt,-0.13617183099454389,0.0,-2.5096653513620293,-0.00037169202674502966,1.0,-2.690796978531942
eqn_0.8_0_0.txt,-0.3467436004778265,0.0,0.0,-0.002554774046728963,1.0,0.0
eqn_0.8_0_1.txt,-0.3467436004778265,0.0,0.0,-0.002554774046728963,1.0,0.0
eqn_0.8_0_2.txt,-0.3467436004778265,0.0,0.0,-0.002554774046728963,1.0,0.0
eqn_0.8_1_0.txt,-0.3467436004778265,0.0,0.0,-0.002554774046728963,1.0,0.0
eqn_0.8_1_1.txt,-0.3467436004778265,0.0,0.0,-0.002554774046728963,1.0,0.0
eqn_0.8_1_2.txt,-0.3467436004778265,0.0,0.0,-0.002554774046728963,1.0,0.0
eqn_0.8_2_0.txt,-0.3467436004778265,0.0,0.0,-0.002554774046728963,1.0,0.0
eqn_0.8_2_1.txt,-0.24782458241972732,0.21069103451455634,0.0,-0.001619783052228596,1.0,0.0
eqn_0.8_2_2.txt,-0.3467436004778265,0.0,0.0,-0.002554774046728963,1.0,0.0
eqn_0.8_3_0.txt,-0.24782458241972677,0.21069103451455853,0.0,-0.0016197830522285683,1.0,0.0
