,I,I^4,I^2,C,dI/dy,I^3,d^2I/dy^2
eqn_0.5_2_1.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_2_2.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_3_0.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_3_1.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_3_2.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_4_0.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_4_1.txt,-0.2333566159239984,0.0,0.5488091463438934,-0.0005069654066267582,1.0,0.0,0.0
eqn_0.5_4_2.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_5_0.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_5_1.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.5_5_2.txt,-0.23335661592399892,0.0,0.5488091463438942,-0.0005069654066268137,1.0,0.0,0.0
eqn_0.6_0_0.txt,0.0,-1.1809621870205624,1.529402996360179,0.0002637845468995703,1.0,0.0,0.0
eqn_0.6_0_1.txt,-0.15902100077994286,-4.499289310162766,-0.3172984905487477,-0.00046759386105854617,1.0,-4.828302685195224,0.0
eqn_0.6_0_2.txt,0.0,-1.1809621870206337,1.5294029963602294,0.00026378454690023645,1.0,0.0,0.0
eqn_0.6_1_0.txt,0.0,-1.1809621870206337,1.5294029963602294,0.00026378454690023645,1.0,0.0,0.0
eqn_0.6_1_1.txt,0.0,-1.1809621870205624,1.529402996360179,0.0002637845468995703,1.0,0.0,0.0
eqn_0.6_1_2.txt,0.0,-1.1809621870206337,1.5294029963602294,0.00026378454690023645,1.0,0.0,0.0
eqn_0.6_2_0.txt,-0.15902100077997472,-4.499289310163082,-0.3172984905490519,-0.00046759386105887923,1.0,-4.828302685195799,0.0
eqn_0.6_2_1.txt,0.0,-1.1809621870206337,1.5294029963602294,0.00026378454690023645,1.0,0.0,0.0
eqn_0.6_2_2.txt,-0.11099549100053456,-2.753423228344303,0.0,-0.00020119233664939173,1.0,-3.177862778020202,-0.2188233246702312
eqn_0.6_3_0.txt,-18.659509879434548,0.0,50.76366423639695,-0.07864621695956231,1.0,0.0,0.0
eqn_0.6_3_1.txt,0.0,-1.1809621870205624,1.529402996360179,0.0002637845468995703,1.0,0.0,0.0
eqn_0.6_3_2.txt,0.0,-1.1809621870205624,1.529402996360179,0.0002637845468995703,1.0,0.0,0.0
