,dI/dy,I,C,I^4,d^2I/dy^2,I^2,I^3
eqn_0.7_1_1.txt,1.0,-0.16728887188312908,-0.0006929869899963692,0.0,0.0,0.45222203225283986,0.0
eqn_0.7_1_2.txt,1.0,-0.16728887188312908,-0.0006929869899963692,0.0,0.0,0.45222203225283986,0.0
eqn_0.7_2_0.txt,1.0,-0.16728887188312908,-0.0006929869899963692,0.0,0.0,0.45222203225283986,0.0
eqn_0.7_2_1.txt,1.0,-0.1672888718831297,-0.0006929869899963692,0.0,0.0,0.4522220322528387,0.0
eqn_0.7_2_2.txt,1.0,-0.3155733565187322,-0.001405474455869582,-5.192407483258558,0.0,-1.6874761317583955,-6.743495950720234
eqn_0.7_3_0.txt,1.0,-0.1672888718831297,-0.0006929869899963692,0.0,0.0,0.4522220322528387,0.0
eqn_0.7_3_1.txt,1.0,-0.16728887188312908,-0.0006929869899963692,0.0,0.0,0.45222203225283986,0.0
eqn_0.7_3_2.txt,1.0,-0.13617183099454389,-0.00037169202674502966,-2.5096653513620293,0.0,0.0,-2.690796978531942
eqn_0.8_0_0.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_0_1.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_0_2.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_1_0.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_1_1.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_1_2.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_2_0.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_2_1.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_2_2.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_3_0.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_3_1.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.8_3_2.txt,1.0,-0.3467436004778265,-0.002554774046728963,0.0,0.0,0.0,0.0
eqn_0.9_0_0.txt,1.0,-0.5046166273117196,-0.003496371476216953,0.0,0.0,-0.20337060996618575,0.0
eqn_0.9_0_1.txt,1.0,-0.3914475308211459,-0.0025501962080376646,0.0,0.0,0.0,0.0
eqn_0.9_0_2.txt,1.0,-0.3914475308211459,-0.0025501962080376646,0.0,0.0,0.0,0.0
eqn_0.9_1_0.txt,1.0,-0.3914475308211459,-0.0025501962080376646,0.0,0.0,0.0,0.0
eqn_0.9_1_1.txt,1.0,-0.3914475308211459,-0.0025501962080376646,0.0,0.0,0.0,0.0
eqn_0.9_1_2.txt,1.0,-0.3914475308211459,-0.0025501962080376646,0.0,0.0,0.0,0.0
eqn_0.9_2_0.txt,1.0,-0.3914475308211459,-0.0025501962080376646,0.0,0.0,0.0,0.0
eqn_0.9_2_1.txt,1.0,-0.5046166273117193,-0.003496371476216953,0.0,0.0,-0.20337060996618447,0.0
eqn_0.9_2_2.txt,1.0,-0.3914475308211459,-0.0025501962080376646,0.0,0.0,0.0,0.0
eqn_0.9_3_0.txt,1.0,-0.5046166273117193,-0.003496371476216953,0.0,0.0,-0.20337060996618447,0.0
eqn_0.9_3_1.txt,1.0,-0.5046166273117193,-0.003496371476216953,0.0,0.0,-0.20337060996618447,0.0
eqn_0.9_3_2.txt,1.0,-0.5046166273117196,-0.003496371476216953,0.0,0.0,-0.20337060996618575,0.0
eqn_1_0_0.txt,1.0,-0.5077922837999137,-0.003862023925540914,0.0,0.0,-0.2653696977311661,0.0
eqn_1_0_1.txt,1.0,-0.5077922837999137,-0.003862023925540914,0.0,0.0,-0.2653696977311661,0.0
eqn_1_0_2.txt,1.0,-0.5077922837999143,-0.003862023925541025,0.0,0.0,-0.2653696977311665,0.0
eqn_1_1_0.txt,1.0,-0.5077922837999143,-0.003862023925541025,0.0,0.0,-0.2653696977311665,0.0
eqn_1_1_1.txt,1.0,-0.3599668343477486,-0.0025069124275590325,0.0,0.0,0.0,0.0
eqn_1_1_2.txt,1.0,-0.3599668343477486,-0.0025069124275590325,0.0,0.0,0.0,0.0
eqn_1_2_0.txt,1.0,-0.5077922837999143,-0.003862023925541025,0.0,0.0,-0.2653696977311665,0.0
eqn_1_2_1.txt,1.0,-0.3599668343477486,-0.0025069124275590325,0.0,0.0,0.0,0.0
eqn_1_2_2.txt,1.0,-0.3599668343477486,-0.0025069124275590325,0.0,0.0,0.0,0.0
eqn_1_3_0.txt,1.0,-0.3599668343477486,-0.0025069124275590325,0.0,0.0,0.0,0.0
eqn_1_3_1.txt,1.0,-0.3599668343477486,-0.0025069124275590325,0.0,0.0,0.0,0.0
eqn_1_3_2.txt,1.0,-0.3599668343477486,-0.0025069124275590325,0.0,0.0,0.0,0.0
